Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D/HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus (CFU) 	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	62	North Kihei	DHS	GB	FB	AW	NMH	NMH210422		Maalaea Harbor	2021-04-22	7:45	2	2	4	2	2					NMH210422	24.8	35.1	6.25	91.7	8.14	1.17	0.99	1.10	1.09	0.084					0	0	0	Wooden box missing from kit (for nutrient extraction)
yes	yes	yes	no	no	62	North Kihei	DHS	GB	FB	AW	NMC	NMC210422		Maalaea Condos	2021-04-22	8:05	2	2	4	2	2					NMC210422	25.1	31.8	7.76	112.2	8.08	3.04	3.02	2.55	2.87	0.097					0	0	0	Nutrient bottle mislabeled as MMC; DO% reading out of normal range, took 2 readings with same results, same correct for DO reading. 
yes	yes	yes	no	no	62	North Kihei	DHS	GB	FB	AW	NHP	NHP210422		Haycraft Park	2021-04-22	8:20	2	2	4	2	2					NHP210422	25.1	34.2	6.70	98.4	8.11	7.58	7.59	7.50	7.56	0.007					0	1	0	
yes	yes	yes	no	no	62	North Kihei	DHS	GB	FB	AW	NKP	NKP210422		Kealia Pond	2021-04-22	8:45	2	2	4	2	2					NKP210422	25.1	35.7	6.70	99.1	8.16	0.75	0.69	0.66	0.70	0.065					0	4	0	
yes	yes	yes	no	no	62	North Kihei	DHS	GB	FB	AW	NKC	NKC210422		Kihei Canoe Club	2021-04-22	9:05	2	2	4	2	2					NKC210422	25.9	34.3	6.60	98.2	8.12	3.04	2.81	3.64	3.16	0.135					0	3	0	
yes	yes	yes	no	no	63	North Kihei	DHS	GB	FB	AW	NMH	NMH210513		Maalaea Harbor	2021-05-13	7:45	1	1	3	1	1					NMH210513	24.1	34.7	6.37	99.2	8.08	2.83	2.81	3.19	2.94	0.073					0	0	0	
yes	yes	yes	no	no	63	North Kihei	DHS	GB	FB	AW	NMC	NMC210513		Maalaea Condos	2021-05-13	8:05	1	1	3	1	1					NMC210513	24.3	32.6	7.95	113.9	8.1	4.46	4.63	4.41	4.50	0.026					0	4	0	DO and DO% out of normal range. Took 2 readings with the same result. We had similar DO readings last sampling session. 
yes	yes	yes	no	no	63	North Kihei	DHS	GB	FB	AW	NHP	NHP210513		Haycraft Park	2021-05-13	8:20	1	1	3	1	1					NHP210513	24.4	34.5	7.00	101.7	8.1	2.47	2.31	2.29	2.36	0.042					0	2	0	
yes	yes	yes	no	no	63	North Kihei	DHS	GB	FB	AW	NKP	NKP210513		Kealia Pond	2021-05-13	8:45	1	1	3	1	1					NKP210513	24.6	35.5	6.93	101.5	8.15	0.78	0.79	0.94	0.84	0.107					0	0	0	
yes	yes	yes	no	no	63	North Kihei	DHS	GB	FB	AW	NKC	NKC210513		Kihei Canoe Club	2021-05-13	9:05	1	1	3	1	1					NKC210513	25.4	34.7	6.73	99.7	8.11	0.85	0.93	1.21	1.00	0.190					0	9	0	
yes	yes	yes	no	no	64	North Kihei	DHS	GB	FB	AW	NMH	NMH210603		Maalaea Harbor	2021-06-03	7:45	2	2	4	2	2					NMH210603	25.2	34.7	6.25	92.4	8.14	3.09	3.67	3.74	3.50	0.102					0	0	0	
yes	yes	yes	no	no	64	North Kihei	DHS	GB	FB	AW	NMC	NMC210603		Maalaea Condos	2021-06-03	8:05	2	2	4	2	2					NMC210603	25.1	33.8	7.29	107.1	8.13	1.81	1.31	1.85	1.66	0.182					0	0	0	
yes	yes	yes	no	no	64	North Kihei	DHS	GB	FB	AW	NHP	NHP210603		Haycraft Park	2021-06-03	8:20	2	2	4	2	2					NHP210603	25.6	35.5	6.66	99.6	8.16										2	5	0	Turbidity meter not functioning; At NHP turbidity meter turned on and then froze. Would not read, would not turn off. Opened battery case and jostled the batteries, removed batteries and replaced them. Meter would not turn back on. Put new batteries in the meter. Meter would still not turn on. Noticed corrosion on a couple of the battry contact points. 
yes	yes	yes	no	no	64	North Kihei	DHS	GB	FB	AW	NKP	NKP210603		Kealia Pond	2021-06-03	8:45	2	2	4	2	2					NKP210603	25.6	35.6	6.65	99.4	8.16										0	5	0	
yes	yes	yes	no	no	64	North Kihei	DHS	GB	FB	AW	NKC	NKC210603		Kihei Canoe Club	2021-06-03	9:05	2	2	4	2	2					NKC210603	26.4	34.9	6.56	98.7	8.12										2	5	0	
yes	yes	yes	no	no	65	North Kihei	DHS	FB	TS		NMH	NMH210624		Maalaea Harbor	2021-06-24	7:57	1	1	3	1	1					NMH210624	25.6	35.3	6.21	92.5	8.1	1.80	1.51	1.56	1.62	0.095					0	0	0	Tourist boat nearby sampling area (very close).
yes	yes	yes	no	no	65	North Kihei	DHS	FB	TS		NMC	NMC210624		Maalaea Condos	2021-06-24	8:18	1	1	3	1	1					NMC210624	25.6	32.4	7.50	109.9	8.16	5.19	5.37	5.57	5.38	0.035					0	0	0	Some stagnant water in channelized ditch. Super low tide (King tides); churning water near sample area with rocks - may account for high O2. 
yes	yes	yes	no	no	65	North Kihei	DHS	FB	TS		NHP	NHP210624		Haycraft Park	2021-06-24	8:37	1	1	3	1	1					NHP210624	25.8	34.8	6.85	102.3	8.11	9.10	9.71	9.01	9.27	0.041					7	4	0	Waves and body boarders and low tide. Higher NTU than normal. Red mud under sand may be getting stirred up. 
yes	yes	yes	no	no	65	North Kihei	DHS	FB	TS		NKP	NKP210624		Kealia Pond	2021-06-24	9:00	1	1	3	1	1					NKP210624	25.9	35.6	6.74	101.2	8.15	1.24	1.17	1.28	1.23	0.045					1	1	4	Low tide, waves, 11 fishing poles. 
yes	yes	yes	no	no	65	North Kihei	DHS	FB	TS		NKC	NKC210624		Kihei Canoe Club	2021-06-24	9:16	1	1	3	1	1					NKC210624	26.8	34.8	6.70	101.6	8.06	12.70	14.5	11.80	13.00	0.106					0	6	0	Waves, brown water.
yes	yes	yes	no	no	66	North Kihei	DHS	GB	AW		NMH	NMH210715		Maalaea Harbor	2021-07-15	7:46	2	1	4	2	2					NMH210715	25.7	35.0	5.98	89.3	8.1	1.62	2.14	1.80	1.85	0.142					0	0	0	HQ40d #2 meter very troubling today; had to reset almost for every reading; shuts off when read button presses; also doesnt always turn back on easily - reset batteries.
yes	yes	yes	no	no	66	North Kihei	DHS	GB	AW		NMC	NMC210715		Maalaea Condos	2021-07-15	8:05	2	1	4	2	2					NMC210715	25.7	33.0	6.96	103.0	8.03	1.78	1.82	1.53	1.71	0.092					0	0	0	KCl found empty **I (Tiara) know for sure there was KCl solution because I cleaned the KCl bottle out and refilled it. Someone must have spilled it at NMH. - Tiara
yes	yes	yes	no	no	66	North Kihei	DHS	GB	AW		NHP	NHP210715		Haycraft Park	2021-07-15	8:25	2	1	4	2	2					NHP210715	26.1	35.2	6.61	99.4	8.13	5.36	5.64	5.71	5.57	0.033					0	4	1	Salinity a bit high; no rain here in a long time
yes	yes	yes	no	no	66	North Kihei	DHS	GB	AW		NKP	NKP210715		Kealia Pond	2021-07-15	8:50	2	1	4	2	2					NKP210715	26.3	35.6	6.56	99.2	8.16	0.59	0.83	0.61	0.68	0.197					0	3	1	Salinity a bit high; no rain here in a long time
yes	yes	yes	no	no	66	North Kihei	DHS	GB	AW		NKC	NKC210715		Kihei Canoe Club	2021-07-15	9:10	2	1	4	2	2					NKC210715	26.7	35.3	6.45	98.1	8.14	3.35	4.08	3.69	3.71	0.099					3	83	0	Salinity a bit high; no rain here in a long time; Canoe races
yes	yes	yes	no	no	67	North Kihei	NMS	GB	FB		NMH	NMH210805		Maalaea Harbor	2021-08-05	7:45	1	1	3	1	3					NMH210805	25.1	34.5	5.98	88.1	8.08	1.17	1.11	1.14	1.14	0.026					0	0	0	All beaches - much less windy today compared to recent weeks, waves generally smaller. 
yes	yes	yes	no	no	67	North Kihei	NMS	GB	FB		NMC	NMC210805		Maalaea Condos	2021-08-05	8:05	1	1	3	1	3					NMC210805	24.8	32.0	7.74	112.0	8.1	3.09	2.62	2.96	2.89	0.084					1	1	0	DO and DO% high?
yes	yes	yes	no	no	67	North Kihei	NMS	GB	FB		NHP	NHP210805		Haycraft Park	2021-08-05	8:20	1	1	3	1	3					NHP210805	25.3	34.2	6.65	98.1	8.08	8.86	8.94	8.88	8.89	0.005					2	2	0	green-rimmed nutrient filter used - water pushed through filter much easier. Is that okay?
yes	yes	yes	no	no	67	North Kihei	NMS	GB	FB		NKP	NKP210805		Kealia Pond	2021-08-05	8:45	1	1	3	1	3					NKP210805	26.4	35.6	6.60	99.7	8.15	0.76	0.92	0.99	0.89	0.132					0	1	0	
yes	yes	yes	no	no	67	North Kihei	NMS	GB	FB		NKC	NKC210805		Kihei Canoe Club	2021-08-05	9:05	1	1	3	1	3					NKC210805	27.2	34.7	6.46	98.6	8.11	1.21	1.46	1.41	1.36	0.097					4	14	0	2 eagle rays near shore
yes	yes	yes	no	no	68	North Kihei	NMS	GB	FB		NMH	NMH210826		Maalaea Harbor	2021-08-26	7:45	2	3	4	2	2					NMH210826	25.1	34.9	5.81	86.0	8.1	0.83	0.84	0.83	0.83	0.007				N	0	0	0	KCL - Accidentlly dumped out KCL at first beach.
yes	yes	yes	no	no	68	North Kihei	NMS	GB	FB		NMC	NMC210826		Maalaea Condos	2021-08-26	8:05	2	3	4	2	2					NMC210826	25.3	34.4	6.88	101.7	8.09	1.98	2.07	2.01	2.02	0.023				N	0	0	0	HQ40d2 meter shuts off frequently when pressing read button.
yes	yes	yes	no	no	68	North Kihei	NMS	GB	FB		NHP	NHP210826		Haycraft Park	2021-08-26	8:25	2	3	4	2	2					NHP210826	25.6	34.9	6.40	95.5	8.11	2.38	2.32	2.44	2.38	0.025				N	0	0	0	
yes	yes	yes	no	no	68	North Kihei	NMS	GB	FB		NKP	NKP210826		Kealia Pond	2021-08-26	8:45	2	3	4	2	2					NKP210826	25.8	35.7	6.46	97.1	8.17	0.61	0.64	0.66	0.64	0.040				N	0	0	0	Almost unable to extract nutrient sampling at NKP. Suspected something wrong with green filter. Tried a spare green filter, no help. Took maybe 10 minutes to extract - something wrong. 
yes	yes	yes	no	no	68	North Kihei	NMS	GB	FB		NKC	NKC210826		Kihei Canoe Club	2021-08-26	9:10	2	3	4	2	2					NKC210826	26.9	35.2	6.42	98.1	8.13	1.86	2.14	1.79	1.93	0.096				N	3	0	0	Although there was recent rain - no stream flow.
yes	yes	yes	no	no	69	North Kihei	NMS	GB	AW		NMH	NMH210916		Maalaea Harbor	2021-09-16	7:50	1	3	3	1	3					NMH210916	26.1	35.1	6.01	90.6	8.13	1.60	1.77	1.40	1.59	0.116				Y	0	0	0	Water somewhat muddy at NMH Harbor where pipe enters the harbor. Water clear at the mouth of NMH Harbor. 
yes	yes	yes	no	no	69	North Kihei	NMS	GB	AW		NMC	NMC210916		Maalaea Condos	2021-09-16	8:10	1	3	3	1	3					NMC210916	26.0	34.4	6.87	102.9	8.12	3.12	3.24	2.94	3.10	0.049				N	0	0	0	
yes	yes	yes	no	no	69	North Kihei	NMS	GB	AW		NHP	NHP210916		Haycraft Park	2021-09-16	8:25	1	3	3	1	3					NHP210916	26.3	34.8	6.57	99.1	8.09	9.03	8.94	8.79	8.92	0.014				N	0	5	0	
yes	yes	yes	yes	no	69	North Kihei	NMS	GB	AW		NKP	NKP210916		Kealia Pond	2021-09-16	8:55	1	3	3	1	3					NKP210916	26.5	35.7	6.59	100.3	8.18	1.03	1.24	1.07	1.11	0.100				N	2	4	0	4 nutrient samples taken at NKP per instruction. 
yes	yes	yes	no	no	69	North Kihei	NMS	GB	AW		NKC	NKC210916		Kihei Canoe Club	2021-09-16	9:35	1	3	3	1	3					NKC210916	27.1	35.2	6.54	100.3	8.15	1.86	1.88	2.10	1.95	0.068				N	1	0	0	All beaches had 1-2' surf occasionall higher. 2 syringes difficult to push water through - saved one of them. 
yes	yes	yes	no	no	70	North Kihei	NMS	AW			NMH	NMH211007		Maalaea Harbor	2021-10-07	7:55	2	2	4	2	2					NMH211007	24.6	35.4	6.09	89.3	8.1	1.07	1.2	1.03	1.10	0.081				N	0	0	0	Re-did medium pre-sampling but same. Boat (~50 peop) sitting right by sampling area. Very windy. 
yes	yes	yes	no	no	70	North Kihei	NMS	AW			NMC	NMC211007		Maalaea Condos	2021-10-07	8:15	2	2	4	2	2					NMC211007	24.9	34.7	7.38	108.3	8.13	3.86	3.63	3.44	3.64	0.058				N	0	0	0	
yes	yes	yes	no	no	70	North Kihei	NMS	AW			NHP	NHP211007		Haycraft Park	2021-10-07	8:45	2	2	4	2	2					NHP211007	24.9	35.3	6.73	99.1	8.12	4.37	4.2	3.72	4.10	0.082				N	3	1	0	
yes	yes	yes	no	no	70	North Kihei	NMS	AW			NKP	NKP211007		Kealia Pond	2021-10-07	9:10	2	2	4	2	2					NKP211007	25.0	35.9	6.72	99.5	8.18	1.43	0.96	1.18	1.19	0.198				N	2	1	0	2 scuba dive flags - assume divers present. Windy! Took 4th turb. reading, was 0.89 NTU.
yes	yes	yes	no	no	70	North Kihei	NMS	AW			NKC	NKC211007		Kihei Canoe Club	2021-10-07	9:34	2	2	4	2	2					NKC211007	27.3	35.4	6.63	101.9	8.14	3.59	3.05	3.06	3.23	0.096				N	0	0	0	
yes	yes	yes	no	no	71	North Kihei	NMS	GB	FB		NMH	NMH211028		Maalaea Harbor	2021-10-28	7:45	1	2	4	1	3					NMH211028	25.4	35.1	5.95	88.2	8.14	0.97	0.88	0.83	0.89	0.079				N	0	0	0	
yes	yes	yes	no	no	71	North Kihei	NMS	GB	FB		NMC	NMC211028		Maalaea Condos	2021-10-28	8:10	1	2	4	1	3					NMC211028	25.4	34.4	6.75	100.1	8.06	1.94	2.01	2.07	2.01	0.032				N	0	1	0	
yes	yes	yes	no	no	71	North Kihei	NMS	GB	FB		NHP	NHP211028		Haycraft Park	2021-10-28	8:25	1	2	4	1	3					NHP211028	26.0	35.7	6.54	98.5	8.16	15.00	14.3	15.30	14.87	0.035				NA	0	0	0	Water churned up and brown due to higher than normal surf. 
yes	yes	yes	no	no	71	North Kihei	NMS	GB	FB		NKP	NKP211028		Kealia Pond	2021-10-28	8:50	1	2	4	1	3					NKP211028	26.2	36.0	6.52	98.9	8.2	0.68	0.67	0.55	0.63	0.114				N	1	0	0	Sure like those new nutrient filters (green) and the new filter box - much easier to drain the syringe. 
yes	yes	yes	no	no	71	North Kihei	NMS	GB	FB		NKC	NKC211028		Kihei Canoe Club	2021-10-28	9:10	1	2	4	1	3					NKC211028	26.5	35.4	6.48	98.3	8.17	2.24	2.27	2.15	2.22	0.028				N	0	0	0	Water also churned up here, brown mostly due to sand. 
yes	yes	yes	no	no	72	North Kihei	NMS	GB	FB		NMH	NMH211118		Maalaea Harbor	2021-11-18	7:50	2	2	4	2	2					NMH211118	26.2	34.9	6.04	90.8	8.12	0.71	0.73	0.71	0.72	0.016				N	0	0	0	calm winds and very low surf today
yes	yes	yes	no	no	72	North Kihei	NMS	GB	FB		NMC	NMC211118		Maalaea Condos	2021-11-18	8:10	2	2	4	2	2					NMC211118	26.3	34.3	6.77	101.7	8.07	0.92	1.07	0.87	0.95	0.109				N	2	0	0	both meters worked well today
yes	yes	yes	no	no	72	North Kihei	NMS	GB	FB		NHP	NHP211118		Haycraft Park	2021-11-18	8:30	2	2	4	2	2					NHP211118	26.5	34.6	6.42	97.0	8.12	3.73	3.62	3.88	3.74	0.035				NA	1	5	0	
yes	yes	yes	no	no	72	North Kihei	NMS	GB	FB		NKP	NKP211118		Kealia Pond	2021-11-18	8:50	2	2	4	2	2					NKP211118	26.1	35.4	6.63	99.9	8.17	0.58	0.64	0.65	0.62	0.061				N	1	1	0	salinity at NKP above 35 which is normal
yes	yes	yes	no	no	72	North Kihei	NMS	GB	FB		NKC	NKC211118		Kihei Canoe Club	2021-11-18	9:10	2	2	4	2	2					NKC211118	26.7	34.7	6.56	99.5	8.14	1.53	1.55	1.57	1.55	0.013				N	0	20	0	double canoe just pulled from beach at NKC
yes	yes	yes	no	no	73	North Kihei	NMS	GB	FB		NMH	NMH211216		Maalaea Harbor	2021-12-16	7:55	1	1	4	1	3					NMH211216	24.6	35.5	6.12	89.7	8.13	1.32	1.18	1.36	1.29	0.073				N	0	0	0	NMH - salinity a bit high
yes	yes	yes	no	no	73	North Kihei	NMS	GB	FB		NMC	NMC211216		Maalaea Condos	2021-12-16	8:20	1	1	4	1	3					NMC211216	24.3	33.9	6.90	99.7	8.04	4.88	4.79	4.28	4.65	0.070				N	0	0	0	no extra KCl in HQ40d #1 box
yes	yes	yes	no	no	73	North Kihei	NMS	GB	FB		NHP	NHP211216		Haycraft Park	2021-12-16	8:35	1	1	4	1	3					NHP211216	24.7	35.0	6.61	97.0	8.13	4.94	5.09	4.93	4.99	0.018				NA	3	2	0	HQ40d #1 meter shut off first 2 times when read was pressed, worked fine after that
yes	yes	yes	no	no	73	North Kihei	NMS	GB	FB		NKP	NKP211216		Kealia Pond	2021-12-16	8:55	1	1	4	1	3					NKP211216	24.8	36.0	6.76	99.9	8.21	0.98	0.81	0.90	0.90	0.095				N	0	0	0	NKP - salinity reading high - read twice with same result
yes	yes	yes	no	no	73	North Kihei	NMS	GB	FB		NKC	NKC211216		Kihei Canoe Club	2021-12-16	9:20	1	1	4	1	3					NKC211216	25.6	34.6	6.55	97.3	8.12	13.60	13.00	13.00	13.20	0.026				N	0	0	0	NKC - brown water from beach out to about 50 feet from beach
yes	yes	yes	no	no	74	North Kihei	NMS	GB	FB		NMH	NMH220106		Maalaea Harbor	2022-01-06	7:45	2	2	4	2	2					NMH220106	24.8	35.3	6.04	88.9	8.08	1.47	1.73	1.61	1.60	0.081				N	0	0	0	salinity outside high range at NMH, NHP, NKP, NKC
yes	yes	yes	no	no	74	North Kihei	NMS	GB	FB		NMC	NMC220106		Maalaea Condos	2022-01-06	8:05	2	2	4	2	2					NMC220106	24.7	34.9	6.33	92.9	8.02	6.89	7.25	7.39	7.18	0.036				N	0	0	0	stronger south swell made it more challenging to grab samples today
yes	yes	yes	no	no	74	North Kihei	NMS	GB	FB		NHP	NHP220106		Haycraft Park	2022-01-06	8:20	2	2	4	2	2					NHP220106	24.7	35.1	6.61	97.3	8.11	9.56	9.11	10.20	9.62	0.057				NA	0	4	8	
yes	yes	yes	no	no	74	North Kihei	NMS	GB	FB		NKP	NKP220106		Kealia Pond	2022-01-06	8:40	2	2	4	2	2					NKP220106	24.7	35.4	6.86	100.8	8.13	4.27	4.25	4.09	4.20	0.023				N	0	0	0	some waves 3 feet at NKP
yes	yes	yes	no	no	74	North Kihei	NMS	GB	FB		NKC	NKC220106		Kihei Canoe Club	2022-01-06	9:00	2	2	4	2	2					NKC220106	25.0	35.2	6.48	95.9	8.12	22.10	22.4	22.20	22.23	0.007				N	0	10	0	very brown water with some debris in it at NKC
yes	yes	yes	no	no	75	North Kihei	NMS	GB	AW		NMH	NMH220127		Maalaea Harbor	2022-01-27	7:45	1	1	5	1	3					NMH220127	23.5	35.5	6.30	90.6	8.14	0.74	0.89	0.79	0.81	0.095				N	0	0	0	NMH,NKP,NKC salinity out of range
yes	yes	yes	no	no	75	North Kihei	NMS	GB	AW		NMC	NMC220127		Maalaea Condos	2022-01-27	8:10	1	1	5	1	3					NMC220127	23.2	33.8	6.87	97.5	8.10	3.99	6.33	5.20	5.17	0.226				N	1	2	0	NMC temp a bit low possibly, no second reading
yes	yes	yes	no	no	75	North Kihei	NMS	GB	AW		NHP	NHP220127		Haycraft Park	2022-01-27	8:35	1	1	5	1	3					NHP220127	23.9	34.7	6.44	92.8	8.11	2.66	2.79	3.10	2.85	0.079				NA	0	5	0	NMC turbidity readings inconsistent
yes	yes	yes	no	no	75	North Kihei	NMS	GB	AW		NKP	NKP220127		Kealia Pond	2022-01-27	9:00	1	1	5	1	3					NKP220127	24.1	36.1	6.82	99.5	8.18	1.25	1.14	1.34	1.24	0.081				N	0	2	0	NKC high turbidity readings likely due to brown water still present from
yes	yes	yes	no	no	75	North Kihei	NMS	GB	AW		NKC	NKC220127		Kihei Canoe Club	2022-01-27	9:20	1	1	5	1	3					NKC220127	24.8	35.2	6.72	98.9	8.14	5.25	5.21	5.28	5.25	0.007				N	0	4	0	rain event some weeks ago
yes	yes	yes	no	no	76	North Kihei	GBG	GB	FB		NMH	NMH220217		Maalaea Harbor	2022-02-17	7:50	2	2	4	2	2					NMH220217	23.8	35.7	6.41	92.7	8.16	0.65	0.75	0.81	0.74	0.110				N	0	0	0	calm winds and very little surf today - all beaches
yes	yes	yes	no	no	76	North Kihei	GBG	GB	AW		NMC	NMC220217		Maalaea Condos	2022-02-17	8:10	3	3	3	3	1					NMC220217	23.4	34.8	6.88	98.6	8.06	8.57	8.64	8.48	8.56	0.009				N	0	0	0	4 of 5 beaches had D/O greater than 35 - mostly normal I think
yes	yes	yes	no	no	76	North Kihei	GBG	GB	FB		NHP	NHP220217		Haycraft Park	2022-02-17	8:25	2	2	4	2	2					NHP220217	23.7	35.7	6.67	96.5	8.14	5.03	5.59	5.21	5.28	0.054				NA	0	5	0	
yes	yes	yes	no	no	76	North Kihei	GBG	GB	FB		NKP	NKP220217		Kealia Pond	2022-02-17	8:50	2	2	4	2	2					NKP220217	23.7	35.8	6.90	100.1	8.19	0.98	0.92	0.91	0.94	0.040				N	2	3	0	NKC - multiple canoes landing and beach crowded with padders
yes	yes	yes	no	no	76	North Kihei	GBG	GB	FB		NKC	NKC220217		Kihei Canoe Club	2022-02-17	9:10	2	2	4	2	2					NKC220217	24.4	35.4	6.79	99.2	8.14	6.42	6.27	5.72	6.14	0.060				N	12	50	0	NKC - water was clearer today - first time since heavy rain event many weeks ago
yes	yes	yes	no	no	77	North Kihei	YSK	GB	FB	YS	NMH	NMH220310		Maalaea Harbor	2022-03-10	7:50	1	1	5	1	3					NMH220310	24.8	35.5	6.36	93.7	8.13	0.85	0.92	0.91	0.89	0.042				N	0	0	0	
yes	yes	yes	no	no	77	North Kihei	YSK	GB	FB	YS	NMC	NMC220310		Maalaea Condos	2022-03-10	8:10	1	1	5	1	3					NMC220310	24.9	33.7	7.01	102.5	8.03	5.22	5.23	4.95	5.13	0.031				N	0	1	0	Sample location gettign very rocky hard to get in and out. 
yes	yes	yes	no	no	77	North Kihei	YSK	GB	FB	YS	NHP	NHP220310		Haycraft Park	2022-03-10	8:30	1	1	5	1	3					NHP220310	24.8	35.0	6.74	99.3	8.09	2.43	2.22	2.34	2.33	0.045				NA	0	5	0	
yes	yes	yes	no	no	77	North Kihei	YSK	GB	FB	YS	NKP	NKP220310		Kealia Pond	2022-03-10	8:50	1	1	5	1	3					NKP220310	25.0	35.8	6.71	99.4	8.15	0.49	0.43	0.45	0.46	0.067				N	2	2	1	
yes	yes	yes	no	no	77	North Kihei	YSK	GB	FB	YS	NKC	NKC220310		Kihei Canoe Club	2022-03-10	9:10	1	1	5	1	3					NKC220310	25.5	34.9	6.68	99.6	8.12	1.37	1.62	1.46	1.48	0.085				N	7	24	0	Lots of people fishing canoeing. First time since storm that turbidity is low. Very calm winds and waves.
yes	yes	yes	no	no	78	North Kihei	NMS	AW	FB		NMH	NMH220331		Maalaea Harbor	2022-03-31	7:48	2	2	4	2	2					NMH220331	24.2	35.1	6.23	90.6	8.15	1.46	1.39	1.52	1.46	0.045				N	0	0	0	
yes	yes	yes	no	no	78	North Kihei	NMS	AW	FB		NMC	NMC220331		Maalaea Condos	2022-03-31	8:15	2	2	4	2	2					NMC220331	24.3	33.3	7.27	104.8	8.12	5.05	6.48	5.95	5.83	0.124				N	0	0	0	
yes	yes	yes	no	no	78	North Kihei	NMS	AW	FB		NHP	NHP220331		Haycraft Park	2022-03-31	8:25	2	2	4	2	2					NHP220331	24.6	34.5	6.73	98.0	8.11	5.29	6.06	5.67	5.67	0.068				N	0	3	8	
yes	yes	yes	no	no	78	North Kihei	NMS	AW	FB		NKP	NKP220331		Kealia Pond	2022-03-31	8:45	2	2	4	2	2					NKP220331	24.6	35.4	6.69	98.3	8.18	1.16	1.1	1.00	1.09	0.074				N	0	1	0	
yes	yes	yes	no	no	78	North Kihei	NMS	AW	FB		NKC	NKC220331		Kihei Canoe Club	2022-03-31	9:10	2	2	4	2	2					NKC220331	25.7	34.5	6.50	96.4	8.13	5.50	6.95	7.58	6.68	0.160				N	0	3	0	
yes	yes	yes	no	no	79	North Kihei	NMS	AW	TS		NMH	NMH220421		Maalaea Harbor	2022-04-21	8:00	1	1	5	1	3					NMH220421	24.0	35.3	6.32	91.7	8.14	1.96	2.03	1.88	1.96	0.038				N	0	0	0	Windy
yes	yes	yes	no	no	79	North Kihei	NMS	AW	TS		NMC	NMC220421		Maalaea Condos	2022-04-21	8:15	1	1	5	1	3					NMC220421	23.9	33.0	7.45	105.6	8.09	5.77	7.51	7.37	6.88	0.140				N	0	1	0	gluch is wet (likely from irrigation) not from rain or runoff. 4th reading 9.58- can see debris floating in sample
yes	yes	yes	no	no	79	North Kihei	NMS	AW	TS		NHP	NHP220421		Haycraft Park	2022-04-21	8:30	1	1	5	1	3					NHP220421	24.2	35.6	6.85	99.9	8.17	3.72	3.5	3.49	3.57	0.036				N	0	5	0	water looks more clear than usual. flat
yes	yes	yes	no	no	79	North Kihei	NMS	AW	TS		NKP	NKP220421		Kealia Pond	2022-04-21	8:50	1	1	5	1	3					NKP220421	24.6	36.1	6.71	98.8	8.19	0.96	0.94	0.94	0.95	0.012				N	0	3	0	dive flag near sampling site
yes	yes	yes	no	no	79	North Kihei	NMS	AW	TS		NKC	NKC220421		Kihei Canoe Club	2022-04-21	9:10	1	1	5	1	3					NKC220421	25.0	35.3	6.64	97.9	8.15	20.40	20.1	21.70	20.73	0.041				N	0	6	0	water looks very brown
yes	yes	yes	no	no	80	North Kihei	NMS	AW	FB	YS	NMH	NMH220512		Maalaea Harbor	2022-05-12	7:50	2	1	4	2	2					NMH220512	24.0	35.0	6.24	90.5	8.14	1.44	1.43	1.43	1.43	0.004				N	0	0	0	Windy at harbor, lots of activity on boats, people loading onto boats
yes	yes	yes	no	no	80	North Kihei	NMS	AW	FB	YS	NMC	NMC220512		Maalaea Condos	2022-05-12	8:12	2	1	4	2	2					NMC220512	24.2	32.1	7.68	110.0	8.14	8.54	8.86	9.15	8.85	0.034				N	0	0	0	light wind,water calm, rocky entry, clear sunny sky, DO reading high 2nd reading 109.9
yes	yes	yes	no	no	80	North Kihei	NMS	AW	FB	YS	NHP	NHP220512		Haycraft Park	2022-05-12	8:30	2	1	4	2	2					NHP220512	24.6	34.5	6.79	99.2	8.13	7.73	7.61	7.99	7.78	0.025				N	0	1	0	
yes	yes	yes	no	no	80	North Kihei	NMS	AW	FB	YS	NKP	NKP220512		Kealia Pond	2022-05-12	8:49	2	1	4	2	2					NKP220512	24.9	35.8	6.67	98.7	8.17	0.76	0.67	1.08	0.84	0.258				N	4	2	0	2 people running/walking by, small waves, calm light winds
yes	yes	yes	no	no	80	North Kihei	NMS	AW	FB	YS	NKC	NKC220512		Kihei Canoe Club	2022-05-12	9:05	2	1	4	2	2					NKC220512	25.8	34.7	6.53	97.5	8.13	12.80	18.6	17.90	16.43	0.193				N	0	0	0	Water looks brown, one person walking by, calm conditions. Turbitiy 4th reading 12.3 5th reading 14.9
